,Unnamed: 0,class,year,month,day,hour,minute,second,length,f0,f1,path
142,142,MP,2021,1,1,4,42,5.64,6.72,,,
143,143,MP,2021,1,1,4,48,17.44,6.24,,,
144,144,ROCKFALL,2021,1,1,4,49,50.28,13.92,,,
145,145,VTB,2021,1,1,4,51,13.44,12.56,,,
146,146,ROCKFALL,2021,1,1,4,52,24.04,13.4,,,
147,147,MP,2021,1,1,4,56,13.12,6.44,,,
148,148,VTB,2021,1,1,4,56,20.2,12.2,,,
149,149,ROCKFALL,2021,1,1,4,58,24.8,53.28,,,
150,150,MP,2021,1,1,5,2,25.6,4.96,,,
151,151,MP,2021,1,1,5,5,16.24,5.44,,,
152,152,GASBURST,2021,1,1,5,8,15.36,13.8,,,
153,153,MP,2021,1,1,5,10,50.4,7.88,,,
154,154,VTB,2021,1,1,5,13,6.76,14.84,,,
155,155,GASBURST,2021,1,1,5,13,36.16,11.76,,,
156,156,VTB,2021,1,1,5,14,0.36,12.28,,,
157,157,MP,2021,1,1,5,14,53.96,6.84,,,
158,158,ROCKFALL,2021,1,1,5,15,42.6,9.4,,,
159,159,MP,2021,1,1,5,16,57.76,8.88,,,
161,161,MP,2021,1,1,5,17,21.36,7.44,,,
162,162,MP,2021,1,1,5,24,29.52,8.56,,,
163,163,ROCKFALL,2021,1,1,5,25,22.64,22.8,,,
164,164,ROCKFALL,2021,1,1,5,25,22.64,22.8,,,
165,165,MP,2021,1,1,5,26,49.52,6.16,,,
166,166,VTB,2021,1,1,5,28,14.4,16.04,,,
167,167,MP,2021,1,1,5,29,50.28,7.88,,,
168,168,GASBURST,2021,1,1,5,32,28.2,16.84,,,
169,169,ROCKFALL,2021,1,1,5,32,54.28,13.8,,,
170,170,MP,2021,1,1,5,34,13.64,6.56,,,
171,171,VTB,2021,1,1,5,37,51.76,43.16,,,
172,172,VTB,2021,1,1,5,39,44.12,17.52,,,
173,173,MP,2021,1,1,5,41,16.56,5.44,,,
174,174,ROCKFALL,2021,1,1,5,42,0.24,14.84,,,
175,175,MP,2021,1,1,5,46,42.96,9.76,,,
176,176,MP,2021,1,1,5,47,0.88,6.84,,,
177,177,MP,2021,1,1,5,54,30.04,6.32,,,
178,178,MP,2021,1,1,5,55,17.0,5.24,,,
179,179,MP,2021,1,1,5,56,4.56,9.56,,,
180,180,GASBURST,2021,1,1,5,57,9.2,23.04,,,
181,181,MP,2021,1,1,6,1,33.52,6.36,,,
182,182,MP,2021,1,1,6,2,16.04,9.24,,,
183,183,VTB,2021,1,1,6,10,17.32,13.24,,,
184,184,MP,2021,1,1,6,11,24.72,8.24,,,
185,185,GASBURST,2021,1,1,6,12,38.76,8.36,,,
186,186,GASBURST,2021,1,1,6,16,24.72,35.52,,,
187,187,MP,2021,1,1,6,17,2.24,6.28,,,
188,188,MP,2021,1,1,6,18,1.12,5.2,,,
189,189,MP,2021,1,1,6,19,12.88,7.8,,,
190,190,VTB,2021,1,1,6,19,45.88,29.0,,,
191,191,VTB,2021,1,1,6,20,44.84,18.08,,,
192,192,VTB,2021,1,1,6,21,43.24,8.8,,,
193,193,MP,2021,1,1,6,22,16.84,5.76,,,
194,194,VTB,2021,1,1,6,22,38.44,25.64,,,
195,195,VTB,2021,1,1,6,23,6.32,11.92,,,
196,196,VTB,2021,1,1,6,23,17.04,26.52,,,
197,197,MP,2021,1,1,6,23,46.92,8.76,,,
198,198,MP,2021,1,1,6,24,35.4,4.68,,,
199,199,VTB,2021,1,1,6,24,40.56,9.76,,,
200,200,MP,2021,1,1,6,25,8.56,5.56,,,
201,201,MP,2021,1,1,6,25,12.04,7.08,,,
202,202,MP,2021,1,1,6,25,41.44,4.36,,,
203,203,MP,2021,1,1,6,25,45.68,4.8,,,
204,204,GASBURST,2021,1,1,6,26,2.4,12.24,,,
205,205,MP,2021,1,1,6,27,35.48,5.36,,,
206,206,MP,2021,1,1,6,28,11.44,4.76,,,
207,207,MP,2021,1,1,6,28,37.44,7.08,,,
208,208,MP,2021,1,1,6,29,4.72,5.84,,,
209,209,MP,2021,1,1,6,29,42.32,6.0,,,
210,210,MP,2021,1,1,6,30,41.32,5.24,,,
211,211,MP,2021,1,1,6,31,51.52,6.64,,,
212,212,VTB,2021,1,1,6,32,17.16,20.16,,,
213,213,MP,2021,1,1,6,33,9.28,8.08,,,
214,214,VTB,2021,1,1,6,33,15.44,8.44,,,
215,215,MP,2021,1,1,6,33,37.84,6.96,,,
216,216,ROCKFALL,2021,1,1,6,34,39.84,8.68,,,
217,217,VTB,2021,1,1,6,35,6.48,20.24,,,
218,218,ROCKFALL,2021,1,1,6,35,57.52,98.72,,,
219,219,ROCKFALL,2021,1,1,6,38,16.88,16.48,,,
220,220,MP,2021,1,1,6,38,58.16,6.64,,,
221,221,ROCKFALL,2021,1,1,6,40,14.56,7.72,,,
222,222,VTB,2021,1,1,6,40,19.84,27.24,,,
223,223,MP,2021,1,1,6,41,58.16,5.4,,,
224,224,GASBURST,2021,1,1,6,44,9.6,11.92,,,
225,225,ROCKFALL,2021,1,1,6,48,45.48,11.4,,,
226,226,MP,2021,1,1,6,53,9.28,8.68,,,
227,227,MP,2021,1,1,6,57,24.8,6.64,,,
228,228,MP,2021,1,1,6,57,41.96,3.8,,,
229,229,GASBURST,2021,1,1,6,58,33.28,16.84,,,
230,230,GASBURST,2021,1,1,6,59,17.0,8.52,,,
231,231,MP,2021,1,1,7,2,45.36,6.36,,,
232,232,MP,2021,1,1,7,2,45.44,6.0,,,
233,233,MP,2021,1,1,7,2,45.44,6.0,,,
234,234,ROCKFALL,2021,1,1,7,3,14.76,37.0,,,
235,235,MP,2021,1,1,7,15,14.32,4.8,,,
236,236,MP,2021,1,1,7,21,41.52,4.64,,,
237,237,MP,2021,1,1,7,23,18.32,8.8,,,
238,238,MP,2021,1,1,7,26,6.28,4.48,,,
239,239,GASBURST,2021,1,1,7,34,20.16,21.16,,,
240,240,GASBURST,2021,1,1,7,35,58.24,10.28,,,
241,241,VTB,2021,1,1,7,39,45.08,6.56,,,
242,242,GASBURST,2021,1,1,7,41,33.8,14.6,,,
243,243,MP,2021,1,1,7,45,12.16,8.32,,,
244,244,MP,2021,1,1,7,46,34.44,6.36,,,
245,245,MP,2021,1,1,7,54,37.0,5.32,,,
246,246,MP,2021,1,1,7,56,22.08,3.84,,,
247,247,MP,2021,1,1,8,0,43.36,4.52,,,
248,248,MP,2021,1,1,8,1,27.04,5.16,,,
249,249,MP,2021,1,1,8,3,55.24,6.56,,,
250,250,VTB,2021,1,1,8,6,3.04,13.36,,,
251,251,MP,2021,1,1,8,7,39.72,4.68,,,
252,252,MP,2021,1,1,8,8,5.68,8.12,,,
253,253,MP,2021,1,1,8,14,30.44,5.88,,,
254,254,MP,2021,1,1,8,18,22.12,5.32,,,
255,255,MP,2021,1,1,8,21,18.6,4.76,,,
256,256,MP,2021,1,1,8,21,25.92,5.52,,,
257,257,MP,2021,1,1,8,21,37.36,4.76,,,
258,258,MP,2021,1,1,8,25,59.56,6.68,,,
259,259,MP,2021,1,1,8,28,14.8,5.84,,,
260,260,VTB,2021,1,1,8,28,47.6,15.12,,,
261,261,ROCKFALL,2021,1,1,8,29,18.64,13.72,,,
262,262,VTB,2021,1,1,8,30,10.96,12.4,,,
263,263,MP,2021,1,1,8,32,0.04,5.44,,,
264,264,MP,2021,1,1,8,32,39.12,6.4,,,
265,265,MP,2021,1,1,8,32,57.44,5.28,,,
266,266,GASBURST,2021,1,1,8,36,35.84,8.32,,,
267,267,VTB,2021,1,1,8,36,43.72,20.84,,,
268,268,MP,2021,1,1,8,40,8.36,6.28,,,
269,269,GASBURST,2021,1,1,8,45,20.88,11.48,,,
270,270,GASBURST,2021,1,1,8,46,31.88,8.96,,,
272,272,GASBURST,2021,1,1,8,49,22.44,17.76,,,
273,273,MP,2021,1,1,8,50,43.64,5.68,,,
274,274,GASBURST,2021,1,1,8,53,2.4,14.0,,,
275,275,MP,2021,1,1,8,54,56.0,4.16,,,
277,277,VTB,2021,1,1,8,55,8.56,35.84,,,
278,278,ROCKFALL,2021,1,1,8,55,44.2,111.2,,,
279,279,MP,2021,1,1,8,58,1.96,4.44,,,
280,280,ROCKFALL,2021,1,1,8,58,51.92,16.0,,,
281,281,MP,2021,1,1,8,59,11.72,5.72,,,
282,282,GASBURST,2021,1,1,8,59,45.8,13.0,,,
283,283,ROCKFALL,2021,1,1,9,1,5.6,8.08,,,
284,284,MP,2021,1,1,9,1,5.8,5.72,,,
285,285,MP,2021,1,1,9,1,5.84,5.44,,,
286,286,MP,2021,1,1,9,1,5.92,5.52,,,
287,287,ROCKFALL,2021,1,1,9,2,42.08,11.08,,,
288,288,VTB,2021,1,1,9,7,50.56,13.84,,,
289,289,ROCKFALL,2021,1,1,9,8,52.52,14.28,,,
290,290,GASBURST,2021,1,1,9,14,20.2,11.64,,,
291,291,MP,2021,1,1,9,17,19.6,5.2,,,
292,292,MP,2021,1,1,9,18,13.44,3.4,,,
293,293,MP,2021,1,1,9,19,5.92,4.48,,,
294,294,MP,2021,1,1,9,20,44.8,4.96,,,
295,295,MP,2021,1,1,9,26,31.4,5.48,,,
296,296,GASBURST,2021,1,1,9,27,30.64,11.12,,,
298,298,ROCKFALL,2021,1,1,9,28,51.56,12.16,,,
299,299,GASBURST,2021,1,1,9,31,28.32,10.6,,,
300,300,MP,2021,1,1,9,35,10.64,6.48,,,
301,301,MP,2021,1,1,9,36,57.92,4.56,,,
302,302,MP,2021,1,1,9,40,39.88,5.76,,,
303,303,MP,2021,1,1,9,41,33.36,7.96,,,
304,304,GASBURST,2021,1,1,9,47,19.24,12.48,,,
305,305,ROCKFALL,2021,1,1,9,47,28.84,111.08,,,
306,306,ROCKFALL,2021,1,1,9,49,54.88,40.96,,,
307,307,VTB,2021,1,1,9,51,6.56,7.92,,,
308,308,MP,2021,1,1,9,52,26.32,4.16,,,
309,309,MP,2021,1,1,9,55,51.96,4.64,,,
310,310,VTB,2021,1,1,9,58,48.08,25.2,,,
311,311,ROCKFALL,2021,1,1,10,0,3.56,17.16,,,
312,312,MP,2021,1,1,10,0,41.68,8.12,,,
313,313,MP,2021,1,1,10,2,57.12,4.84,,,
314,314,ROCKFALL,2021,1,1,10,5,33.96,9.0,,,
315,315,MP,2021,1,1,10,12,37.36,6.2,,,
316,316,MP,2021,1,1,10,14,0.84,6.84,,,
317,317,MP,2021,1,1,10,23,31.52,7.36,,,
318,318,GASBURST,2021,1,1,10,24,6.0,22.52,,,
319,319,MP,2021,1,1,10,25,21.28,6.4,,,
320,320,GASBURST,2021,1,1,10,26,2.44,24.36,,,
321,321,ROCKFALL,2021,1,1,10,28,32.04,19.36,,,
322,322,VTB,2021,1,1,10,34,10.28,9.56,,,
323,323,MP,2021,1,1,10,35,51.28,6.36,,,
324,324,MP,2021,1,1,10,37,56.36,7.44,,,
325,325,ROCKFALL,2021,1,1,10,44,1.4,74.2,,,
326,326,ROCKFALL,2021,1,1,10,46,21.92,10.4,,,
327,327,MP,2021,1,1,10,46,57.0,5.12,,,
328,328,MP,2021,1,1,10,48,46.12,4.76,,,
329,329,GASBURST,2021,1,1,10,51,30.24,13.92,,,
330,330,ROCKFALL,2021,1,1,10,51,55.44,11.52,,,
331,331,MP,2021,1,1,10,52,57.16,5.8,,,
333,333,ROCKFALL,2021,1,1,10,59,13.48,24.96,,,
334,334,MP,2021,1,1,11,1,26.12,4.52,,,
335,335,MP,2021,1,1,11,2,39.44,5.24,,,
336,336,MP,2021,1,1,11,4,15.44,4.48,,,
337,337,MP,2021,1,1,11,4,57.36,4.08,,,
338,338,GASBURST,2021,1,1,11,6,55.76,6.4,,,
339,339,VTB,2021,1,1,11,7,22.64,14.8,,,
340,340,VTB,2021,1,1,11,8,14.76,12.44,,,
341,341,MP,2021,1,1,11,8,38.72,6.12,,,
342,342,MP,2021,1,1,11,9,19.8,6.76,,,
343,343,VTB,2021,1,1,11,10,3.12,15.28,,,
344,344,MP,2021,1,1,11,10,27.04,8.24,,,
345,345,GASBURST,2021,1,1,11,11,21.8,8.96,,,
346,346,ROCKFALL,2021,1,1,11,11,52.92,10.4,,,
347,347,MP,2021,1,1,11,12,8.88,6.24,,,
348,348,GASBURST,2021,1,1,11,12,28.48,14.28,,,
349,349,VTB,2021,1,1,11,12,44.36,22.4,,,
350,350,VTB,2021,1,1,11,13,18.12,9.72,,,
351,351,VTB,2021,1,1,11,13,49.36,12.88,,,
352,352,VTB,2021,1,1,11,14,39.92,12.96,,,
353,353,MP,2021,1,1,11,15,22.76,6.92,,,
354,354,MP,2021,1,1,11,15,31.12,5.12,,,
355,355,MP,2021,1,1,11,15,48.52,8.44,,,
356,356,MP,2021,1,1,11,16,5.04,8.2,,,
357,357,VTB,2021,1,1,11,16,19.08,17.44,,,
358,358,MP,2021,1,1,11,16,51.84,6.72,,,
359,359,VTB,2021,1,1,11,18,27.36,17.2,,,
360,360,VTB,2021,1,1,11,18,41.92,15.84,,,
361,361,VTB,2021,1,1,11,18,56.84,16.16,,,
362,362,MP,2021,1,1,11,19,16.16,5.36,,,
363,363,MP,2021,1,1,11,20,39.12,8.08,,,
364,364,MP,2021,1,1,11,21,5.64,5.4,,,
365,365,MP,2021,1,1,11,21,5.64,5.4,,,
366,366,MP,2021,1,1,11,21,11.72,6.04,,,
367,367,VTB,2021,1,1,11,23,2.0,10.96,,,
368,368,GASBURST,2021,1,1,11,24,9.12,11.28,,,
369,369,MP,2021,1,1,11,25,10.56,8.72,,,
370,370,MP,2021,1,1,11,26,12.04,5.44,,,
371,371,ROCKFALL,2021,1,1,11,26,18.12,17.92,,,
372,372,MP,2021,1,1,11,27,39.56,5.48,,,
374,374,VTB,2021,1,1,11,30,5.76,9.36,,,
375,375,MP,2021,1,1,11,30,25.8,7.04,,,
376,376,MP,2021,1,1,11,30,54.6,4.96,,,
377,377,MP,2021,1,1,11,32,35.6,7.04,,,
378,378,MP,2021,1,1,11,33,1.32,3.84,,,
379,379,GASBURST,2021,1,1,11,37,22.48,11.2,,,
380,380,GASBURST,2021,1,1,11,41,10.24,14.8,,,
381,381,ROCKFALL,2021,1,1,11,46,40.64,14.56,,,
382,382,ROCKFALL,2021,1,1,11,49,21.36,12.96,,,
383,383,MP,2021,1,1,11,49,41.72,8.4,,,
385,385,GASBURST,2021,1,1,11,50,12.52,8.52,,,
386,386,GASBURST,2021,1,1,11,56,54.4,13.76,,,
387,387,ROCKFALL,2021,1,1,11,59,11.88,39.48,,,
388,388,MP,2021,1,1,12,1,6.88,5.92,,,
389,389,MP,2021,1,1,12,2,53.92,5.6,,,
390,390,ROCKFALL,2021,1,1,12,3,40.6,5.84,,,
392,392,MP,2021,1,1,12,4,27.84,5.48,,,
393,393,VTB,2021,1,1,12,4,36.6,17.68,,,
394,394,GASBURST,2021,1,1,12,9,0.92,10.76,,,
395,395,ROCKFALL,2021,1,1,12,16,1.92,39.4,,,
396,396,GASBURST,2021,1,1,12,18,33.0,9.6,,,
397,397,MP,2021,1,1,12,18,45.8,7.04,,,
398,398,VTB,2021,1,1,12,19,10.92,11.88,,,
399,399,MP,2021,1,1,12,21,31.72,4.16,,,
400,400,MP,2021,1,1,12,24,6.28,9.12,,,
401,401,MP,2021,1,1,12,27,0.64,6.16,,,
402,402,GASBURST,2021,1,1,12,28,17.24,16.68,,,
403,403,MP,2021,1,1,12,31,28.6,7.0,,,
404,404,GASBURST,2021,1,1,12,32,48.28,7.96,,,
405,405,GASBURST,2021,1,1,12,35,57.92,8.36,,,
406,406,GASBURST,2021,1,1,12,38,25.52,8.0,,,
407,407,MP,2021,1,1,12,39,53.2,7.0,,,
408,408,VTB,2021,1,1,12,40,51.4,11.68,,,
409,409,ROCKFALL,2021,1,1,12,44,39.72,8.68,,,
410,410,VTB,2021,1,1,12,49,21.0,10.8,,,
411,411,VTB,2021,1,1,12,50,18.24,19.52,,,
412,412,MP,2021,1,1,12,52,31.84,4.48,,,
413,413,MP,2021,1,1,13,0,56.64,4.88,,,
414,414,MP,2021,1,1,13,2,15.8,5.28,,,
415,415,GASBURST,2021,1,1,13,4,25.64,7.04,,,
416,416,MP,2021,1,1,13,5,41.72,7.12,,,
417,417,MP,2021,1,1,13,7,22.4,3.72,,,
418,418,MP,2021,1,1,13,8,50.04,4.4,,,
419,419,MP,2021,1,1,13,9,35.24,5.88,,,
420,420,MP,2021,1,1,13,10,10.92,4.68,,,
421,421,VTB,2021,1,1,13,10,31.28,12.96,,,
422,422,GASBURST,2021,1,1,13,12,21.68,32.72,,,
423,423,ROCKFALL,2021,1,1,13,13,28.2,21.6,,,
424,424,GASBURST,2021,1,1,13,14,45.8,10.52,,,
425,425,ROCKFALL,2021,1,1,13,16,42.52,137.36,,,
426,426,ROCKFALL,2021,1,1,13,21,58.72,39.52,,,
427,427,ROCKFALL,2021,1,1,13,22,37.88,102.04,,,
428,428,MP,2021,1,1,13,25,28.68,5.04,,,
429,429,MP,2021,1,1,13,27,14.88,5.72,,,
430,430,MP,2021,1,1,13,30,50.88,7.76,,,
431,431,GASBURST,2021,1,1,13,32,25.12,66.48,,,
432,432,GASBURST,2021,1,1,13,35,1.0,9.64,,,
433,433,GASBURST,2021,1,1,13,36,33.28,59.72,,,
434,434,MP,2021,1,1,13,39,20.12,6.2,,,
435,435,MP,2021,1,1,13,39,28.2,5.8,,,
436,436,MP,2021,1,1,13,39,45.12,4.96,,,
437,437,MP,2021,1,1,13,41,0.08,3.44,,,
438,438,ROCKFALL,2021,1,1,13,42,9.88,33.92,,,
439,439,ROCKFALL,2021,1,1,13,42,46.48,33.8,,,
440,440,MP,2021,1,1,13,45,6.28,5.84,,,
441,441,ROCKFALL,2021,1,1,13,46,7.52,12.6,,,
442,442,MP,2021,1,1,13,46,21.6,6.44,,,
443,443,GASBURST,2021,1,1,13,47,33.28,21.12,,,
444,444,ROCKFALL,2021,1,1,13,53,52.2,67.72,,,
445,445,GASBURST,2021,1,1,13,58,6.32,11.6,,,
446,446,MP,2021,1,1,14,0,41.48,7.0,,,
447,447,MP,2021,1,1,14,3,13.12,7.76,,,
448,448,ROCKFALL,2021,1,1,14,7,30.4,51.84,,,
449,449,GASBURST,2021,1,1,14,11,25.6,6.24,,,
450,450,MP,2021,1,1,14,12,2.24,8.08,,,
451,451,ROCKFALL,2021,1,1,14,19,16.12,25.4,,,
452,452,MP,2021,1,1,14,21,56.24,6.36,,,
453,453,MP,2021,1,1,14,24,25.68,4.92,,,
454,454,GASBURST,2021,1,1,14,26,45.4,9.2,,,
455,455,ROCKFALL,2021,1,1,14,30,44.84,19.6,,,
456,456,ROCKFALL,2021,1,1,14,31,7.8,7.72,,,
457,457,ROCKFALL,2021,1,1,14,34,50.8,10.92,,,
458,458,VTB,2021,1,1,14,40,46.8,17.8,,,
459,459,MP,2021,1,1,14,42,14.44,5.28,,,
460,460,ROCKFALL,2021,1,1,14,44,17.88,56.64,,,
461,461,GASBURST,2021,1,1,14,47,20.84,8.48,,,
462,462,ROCKFALL,2021,1,1,14,49,1.12,9.4,,,
463,463,ROCKFALL,2021,1,1,14,51,9.84,78.0,,,
464,464,MP,2021,1,1,14,53,48.32,4.2,,,
465,465,MP,2021,1,1,14,53,52.6,7.52,,,
466,466,MP,2021,1,1,14,56,14.4,4.52,,,
467,467,MP,2021,1,1,14,56,25.44,7.88,,,
